"name","major_rank","major","percent"
"University of Oregon",5,"Physiology, General",6
"University of South Carolina",1,"Finance and Financial Management Services",5
"University of South Carolina",2,"Research and Experimental Psychology",5
"University of South Carolina",3,"Physiology, Pathology and Related Sciences",5
"University of South Carolina",4,"Biology, General",5
"University of South Carolina",5,"Public Relations, Advertising, and Applied Communication",4
"University of Tennessee",1,"Business, Management, Marketing, and Related Support Services",22
"University of Tennessee",2,"Engineering",10
"University of Tennessee",3,"Social Sciences",8
"University of Tennessee",4,"Parks, Recreation, Leisure, and Fitness Studies",7
"University of Tennessee",5,"Psychology",7
"Howard University",1,"Physical Sciences",14
"Howard University",2,"Business, Management, Marketing, and Related Support Services",13
"Howard University",3,"Communication, Journalism, and Related Programs",11
"Howard University",4,"Social Sciences",11
"Howard University",5,"Biological and Biomedical Sciences",9
"University of Alabama",1,"Business, Management, Marketing, and Related Support Services",30
"University of Alabama",2,"Engineering",10
"University of Alabama",3,"Communication, Journalism, and Related Programs",10
"University of Alabama",4,"Health Professions and Related Programs",9
"University of Alabama",5,"Education",7
"University of San Francisco",1,"Business Administration and Management, General",13
"University of San Francisco",2,"Registered Nursing/Registered Nurse",11
"University of San Francisco",3,"Finance, General",9
"University of San Francisco",4,"Psychology, General",7
"University of San Francisco",5,"Marketing/Marketing Management, General",6
"University of the Pacific",1,"Business Administration and Management, General",16
"University of the Pacific",2,"Biology/Biological Sciences, General",13
"University of the Pacific",3,"Engineering, General",13
"University of Utah",1,"Communication and Media Studies",7
"University of Utah",2,"Psychology, General",7
"University of Utah",3,"Economics, General",5
"University of Utah",4,"Biology/Biological Sciences, General",4
"University of Utah",5,"Business Administration and Management, General",4
"Arizona State University--Tempe",1,"Business, Management, Marketing, and Related Support Services",23
"Arizona State University--Tempe",2,"Engineering",12
"Arizona State University--Tempe",3,"Biological and Biomedical Sciences",9
"Arizona State University--Tempe",4,"Social Sciences",9
"Arizona State University--Tempe",5,"Visual and Performing Arts",8
"Iowa State University",1,"Business, Management, Marketing, and Related Support Services",20
"Iowa State University",2,"Engineering",20
"Iowa State University",3,"Agriculture, Agriculture Operations, and Related Sciences",12
"Iowa State University",4,"Biological and Biomedical Sciences",6
"Iowa State University",5,"Family and Consumer Sciences/Human Sciences",5
"Temple University",1,"Business, Management, Marketing, and Related Support Services",24
"Temple University",2,"Communication, Journalism, and Related Programs",13
"Temple University",3,"Visual and Performing Arts",7
"Temple University",4,"Parks, Recreation, Leisure, and Fitness Studies",7
"Temple University",5,"Health Professions and Related Programs",6
"University of Kansas",1,"Business, Management, Marketing, and Related Support Services",16
"University of Kansas",2,"Health Professions and Related Programs",12
"University of Kansas",3,"Engineering",10
"University of Kansas",4,"Communication, Journalism, and Related Programs",9
"University of Kansas",5,"Visual and Performing Arts",6
"University of St. Thomas",1,"Business, Management, Marketing, and Related Support Services",37
"University of St. Thomas",2,"Communication, Journalism, and Related Programs",5
"University of St. Thomas",3,"Biological and Biomedical Sciences",4
"University of St. Thomas",4,"Engineering",4
"University of St. Thomas",5,"Health Professions and Related Programs",4
"The Catholic University of America",1,"Political Science and Government, General",10
"The Catholic University of America",2,"Psychology, General",10
"The Catholic University of America",3,"Registered Nursing/Registered Nurse",8
"The Catholic University of America",4,"Architecture",7
"The Catholic University of America",5,"Mechanical Engineering",6
"DePaul University",1,"Business, Management, Marketing, and Related Support Services",31
"DePaul University",2,"Communication, Journalism, and Related Programs",12
"DePaul University",3,"Liberal Arts and Sciences, General Studies and Humanities",9
"DePaul University",4,"Social Sciences",8
"DePaul University",5,"Computer and Information Sciences and Support Services",8
"Duquesne University",1,"Health Professions and Related Programs",30
"Duquesne University",2,"Business, Management, Marketing, and Related Support Services",26
"Duquesne University",3,"Biological and Biomedical Sciences",10
"Duquesne University",4,"Education",8
"Duquesne University",5,"Communication, Journalism, and Related Programs",5
"University of Missouri",1,"Business, Management, Marketing, and Related Support Services",15
"University of Missouri",2,"Health Professions and Related Programs",14
"University of Missouri",3,"Communication, Journalism, and Related Programs",12
"University of Missouri",4,"Engineering",9
"University of Missouri",5,"Biological and Biomedical Sciences",5
"Clarkson University",1,"Engineering, General",54
"Clarkson University",2,"Business Administration and Management, General",22
"Clarkson University",3,"Biology/Biological Sciences, General",10
"Clarkson University",4,"Psychology, General",3
"Clarkson University",5,"Mathematics, General",2
"Colorado State University",1,"Business, Management, Marketing, and Related Support Services",14
"Colorado State University",2,"Biological and Biomedical Sciences",10
"Colorado State University",3,"Social Sciences",9
"Colorado State University",4,"Family and Consumer Sciences/Human Sciences",9
"Colorado State University",5,"Engineering",8
"Michigan Technological University",1,"Engineering",63
"Michigan Technological University",2,"Business, Management, Marketing, and Related Support Services",7
"Michigan Technological University",3,"Computer and Information Sciences and Support Services",6
"Michigan Technological University",4,"Biological and Biomedical Sciences",4
"Michigan Technological University",5,"Engineering Technologies and Engineering-Related Fields",4
"Seton Hall University",1,"Registered Nursing/Registered Nurse",15
"Seton Hall University",2,"Biology/Biological Sciences, General",9
"Seton Hall University",3,"Humanities/Humanistic Studies",9
"Seton Hall University",4,"Finance, General",6
"Seton Hall University",5,"International Relations and Affairs",5
"University of Arizona",1,"Business, Management, Marketing, and Related Support Services",15
"University of Arizona",2,"Biological and Biomedical Sciences",10
"University of Arizona",3,"Social Sciences",9
"University of Arizona",4,"Health Professions and Related Programs",7
"University of Arizona",5,"Psychology",7
"University of California--Riverside",1,"Social Sciences",22
"University of California--Riverside",2,"Biological and Biomedical Sciences",15
"University of California--Riverside",3,"Business, Management, Marketing, and Related Support Services",15
"University of California--Riverside",4,"Psychology",10
"University of California--Riverside",5,"Engineering",9
"University of Dayton",1,"Business, Management, Marketing, and Related Support Services",30
"University of Dayton",2,"Engineering",15
"University of Dayton",3,"Education",8
"University of Dayton",4,"Communication, Journalism, and Related Programs",7
"University of Dayton",5,"Health Professions and Related Programs",7
"University of Nebraska--Lincoln",1,"Business, Management, Marketing, and Related Support Services",23
"University of Nebraska--Lincoln",2,"Engineering",10
"University of Nebraska--Lincoln",3,"Agriculture, Agriculture Operations, and Related Sciences",9
"University of Nebraska--Lincoln",4,"Communication, Journalism, and Related Programs",8
"University of Nebraska--Lincoln",5,"Family and Consumer Sciences/Human Sciences",8
"Hofstra University",1,"Psychology, General",7
"Hofstra University",2,"Marketing/Marketing Management, General",6
"Hofstra University",3,"Accounting",5
"Hofstra University",4,"Public Relations/Image Management",5
"Hofstra University",5,"Finance, General",4
"Louisiana State University--Baton Rouge",1,"Business, Management, Marketing, and Related Support Services",22
"Louisiana State University--Baton Rouge",2,"Engineering",13
"Louisiana State University--Baton Rouge",3,"Education",10
"Louisiana State University--Baton Rouge",4,"Biological and Biomedical Sciences",7
"Louisiana State University--Baton Rouge",5,"Communication, Journalism, and Related Programs",6
"Mercer University",1,"Business, Management, Marketing, and Related Support Services",20
"Mercer University",2,"Biological and Biomedical Sciences",14
"Mercer University",3,"Engineering",14
"Mercer University",4,"Social Sciences",10
"Mercer University",5,"Psychology",7
"The New School",1,"Visual and Performing Arts",58
"The New School",2,"Social Sciences",9
"The New School",3,"Business, Management, Marketing, and Related Support Services",6
"The New School",4,"Communication, Journalism, and Related Programs",6
"The New School",5,"Liberal Arts and Sciences, General Studies and Humanities",5
"Rutgers University--Newark",1,"Accounting",15
"Rutgers University--Newark",2,"Psychology, General",13
"Rutgers University--Newark",3,"Criminal Justice/Safety Studies",12
"Rutgers University--Newark",4,"Finance, General",7
"Rutgers University--Newark",5,"Biology/Biological Sciences, General",7
"University of Arkansas",1,"Business, Management, Marketing, and Related Support Services",23
"University of Arkansas",2,"Engineering",10
"University of Arkansas",3,"Health Professions and Related Programs",8
"University of Arkansas",4,"Social Sciences",8
"University of Arkansas",5,"Communication, Journalism, and Related Programs",6
"University of Cincinnati",1,"Business, Management, Marketing, and Related Support Services",17
"University of Cincinnati",2,"Health Professions and Related Programs",15
"University of Cincinnati",3,"Engineering",13
"University of Cincinnati",4,"Visual and Performing Arts",10
"University of Cincinnati",5,"Education",7
"University of Kentucky",1,"Education",5
"University of Kentucky",2,"Business, Management, Marketing, and Related Support Services",4
"University of Kentucky",3,"Biological and Biomedical Sciences",4
"University of Kentucky",4,"Health Professions and Related Programs",4
"George Mason University",1,"Criminal Justice/Police Science",7
"George Mason University",2,"Biology/Biological Sciences, General",6
"George Mason University",3,"Information Technology",6
"George Mason University",4,"Psychology, General",6
"George Mason University",5,"Accounting",5
"New Jersey Institute of Technology",1,"Engineering",37
"New Jersey Institute of Technology",2,"Computer and Information Sciences and Support Services",19
"New Jersey Institute of Technology",3,"Engineering Technologies and Engineering-Related Fields",13
"New Jersey Institute of Technology",4,"Architecture and Related Services",12
"New Jersey Institute of Technology",5,"Business, Management, Marketing, and Related Support Services",8
"San Diego State University",1,"Business, Management, Marketing, and Related Support Services",19
"San Diego State University",2,"Social Sciences",11
"San Diego State University",3,"Health Professions and Related Programs",9
"San Diego State University",4,"Psychology",8
"San Diego State University",5,"Engineering",7
"University of South Florida",1,"Health Professions and Related Programs",20
"University of South Florida",2,"Business, Management, Marketing, and Related Support Services",16
"University of South Florida",3,"Biological and Biomedical Sciences",12
"University of South Florida",4,"Social Sciences",12
"University of South Florida",5,"Psychology",6
"Washington State University",1,"Business, Management, Marketing, and Related Support Services",20
"Washington State University",2,"Social Sciences",12
"Washington State University",3,"Engineering",11
"Washington State University",4,"Health Professions and Related Programs",8
"Washington State University",5,"Communication, Journalism, and Related Programs",7
"Kansas State University",1,"Business, Management, Marketing, and Related Support Services",18
"Kansas State University",2,"Agriculture, Agriculture Operations, and Related Sciences",13
"Kansas State University",3,"Engineering",10
"Kansas State University",4,"Social Sciences",8
"Kansas State University",5,"Family and Consumer Sciences/Human Sciences",8
"Oregon State University",1,"Engineering",15
"Oregon State University",2,"Business, Management, Marketing, and Related Support Services",12
"Oregon State University",3,"Family and Consumer Sciences/Human Sciences",10
"Oregon State University",4,"Agriculture, Agriculture Operations, and Related Sciences",7
"Oregon State University",5,"Social Sciences",7
"St. John Fisher College",1,"Business, Management, Marketing, and Related Support Services",26
"St. John Fisher College",2,"Health Professions and Related Programs",26
"St. John Fisher College",3,"Biological and Biomedical Sciences",10
"St. John Fisher College",4,"Communication, Journalism, and Related Programs",7
"St. John Fisher College",5,"Social Sciences",7
"University of Illinois--Chicago",1,"Business, Management, Marketing, and Related Support Services",15
"University of Illinois--Chicago",2,"Biological and Biomedical Sciences",14
"University of Illinois--Chicago",3,"Psychology",13
"University of Illinois--Chicago",4,"Engineering",12
"University of Illinois--Chicago",5,"Health Professions and Related Programs",8
"University of Mississippi",1,"General Studies",7
"University of Mississippi",2,"Accounting",6
"University of Mississippi",3,"Marketing/Marketing Management, General",6
"University of Mississippi",4,"Digital Communication and Media/Multimedia",5
"University of Mississippi",5,"Elementary Education and Teaching",5
"University of Texas--Dallas",1,"Business, Management, Marketing, and Related Support Services",26
"University of Texas--Dallas",2,"Biological and Biomedical Sciences",15
"University of Texas--Dallas",3,"Engineering",11
"University of Texas--Dallas",4,"Computer and Information Sciences and Support Services",9
"University of Texas--Dallas",5,"Psychology",7
"Adelphi University",1,"Registered Nursing/Registered Nurse",29
"Adelphi University",2,"Psychology, General",7
"Adelphi University",3,"Business Administration and Management, General",6
"Adelphi University",4,"Biology/Biological Sciences, General",5
"Adelphi University",5,"Social Sciences, General",5
"Florida Institute of Technology",1,"Mechanical Engineering",11
"Florida Institute of Technology",2,"Aerospace, Aeronautical and Astronautical/Space Engineering",9
"Florida Institute of Technology",3,"Aviation/Airway Management and Operations",7
"Florida Institute of Technology",4,"Electrical and Electronics Engineering",6
"Florida Institute of Technology",5,"Civil Engineering, General",5
"Ohio University",1,"Registered Nursing/Registered Nurse",37
"Ohio University",2,"Liberal Arts and Sciences, General Studies and Humanities, Other",4
"Ohio University",3,"Business Administration and Management, General",3
"Ohio University",4,"Journalism",3
"Ohio University",5,"Speech Communication and Rhetoric",3
"University at Albany--SUNY",1,"Social Sciences",27
"University at Albany--SUNY",2,"Biological and Biomedical Sciences",12
"University at Albany--SUNY",3,"Business, Management, Marketing, and Related Support Services",12
"University at Albany--SUNY",4,"English Language and Literature/Letters",12
"University at Albany--SUNY",5,"Psychology",11
"Oklahoma State University",1,"Business, Management, Marketing, and Related Support Services",28
"Oklahoma State University",2,"Engineering",9
"Oklahoma State University",3,"Agriculture, Agriculture Operations, and Related Sciences",9
"Oklahoma State University",4,"Family and Consumer Sciences/Human Sciences",7
"Oklahoma State University",5,"Biological and Biomedical Sciences",6
"University of Massachusetts--Lowell",1,"Business, Management, Marketing, and Related Support Services",18
"University of Massachusetts--Lowell",2,"Engineering",18
"University of Massachusetts--Lowell",3,"Health Professions and Related Programs",12
"University of Massachusetts--Lowell",4,"Computer and Information Sciences and Support Services",11
"University of Massachusetts--Lowell",5,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",9
"University of Rhode Island",1,"Registered Nursing/Registered Nurse",7
"University of Rhode Island",2,"Psychology, General",6
"University of Rhode Island",3,"Speech Communication and Rhetoric",6
"University of Rhode Island",4,"Kinesiology and Exercise Science",5
"University of Rhode Island",5,"Human Development and Family Studies, General",4
"Biola University",1,"Business, Management, Marketing, and Related Support Services",15
"Biola University",2,"Communication, Journalism, and Related Programs",12
"Biola University",3,"Visual and Performing Arts",11
"Biola University",4,"Psychology",9
"Biola University",5,"Theology and Religious Vocations",8
"Illinois State University",1,"Business, Management, Marketing, and Related Support Services",21
"Illinois State University",2,"Education",15
"Illinois State University",3,"Health Professions and Related Programs",8
"Illinois State University",4,"Social Sciences",7
"Illinois State University",5,"Communication, Journalism, and Related Programs",7
"University of Alabama--Birmingham",1,"Biological and Biomedical Sciences",NA
"University of Alabama--Birmingham",2,"Business, Management, Marketing, and Related Support Services",NA
"University of Alabama--Birmingham",3,"Education",NA
"University of Alabama--Birmingham",4,"Health Professions and Related Programs",NA
"University of Alabama--Birmingham",5,"Psychology",NA
"University of Hawaii--Manoa",1,"Business, Management, Marketing, and Related Support Services",20
"University of Hawaii--Manoa",2,"Health Professions and Related Programs",8
"University of Hawaii--Manoa",3,"Biological and Biomedical Sciences",7
"University of Hawaii--Manoa",4,"Engineering",7
"University of Hawaii--Manoa",5,"Social Sciences",7
"University of La Verne",1,"Business, Management, Marketing, and Related Support Services",25
"University of La Verne",2,"Social Sciences",14
"University of La Verne",3,"Communication, Journalism, and Related Programs",11
"University of La Verne",4,"Education",11
"University of La Verne",5,"Psychology",11
"University of Maryland--Baltimore County",1,"Biological and Biomedical Sciences",17
"University of Maryland--Baltimore County",2,"Computer and Information Sciences and Support Services",17
"University of Maryland--Baltimore County",3,"Social Sciences",12
"University of Maryland--Baltimore County",4,"Psychology",12
"University of Maryland--Baltimore County",5,"Engineering",9
"Immaculata University",1,"Health Professions and Related Programs",57
"Immaculata University",2,"Business, Management, Marketing, and Related Support Services",16
"Immaculata University",3,"Parks, Recreation, Leisure, and Fitness Studies",6
"Immaculata University",4,"Education",5
"Immaculata University",5,"Psychology",4
"Maryville University of St. Louis",1,"Health Professions and Related Programs",38
"Maryville University of St. Louis",2,"Business, Management, Marketing, and Related Support Services",25
"Maryville University of St. Louis",3,"Psychology",11
"Maryville University of St. Louis",4,"Biological and Biomedical Sciences",5
"Maryville University of St. Louis",5,"Visual and Performing Arts",5
"Missouri University of Science &amp; Technology",1,"Engineering",65
"Missouri University of Science &amp; Technology",2,"Computer and Information Sciences and Support Services",10
"Missouri University of Science &amp; Technology",3,"Physical Sciences",5
"Missouri University of Science &amp; Technology",4,"Biological and Biomedical Sciences",4
"Missouri University of Science &amp; Technology",5,"Engineering Technologies and Engineering-Related Fields",4
"St. John's University",1,"Business, Management, Marketing, and Related Support Services",23
"St. John's University",2,"Communication, Journalism, and Related Programs",11
"St. John's University",3,"Health Professions and Related Programs",11
"St. John's University",4,"Biological and Biomedical Sciences",8
"St. John's University",5,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",8
"University of California--Merced",1,"Biological and Biomedical Sciences",20
"University of California--Merced",2,"Psychology",19
"University of California--Merced",3,"Engineering",17
"University of California--Merced",4,"Social Sciences",17
"University of California--Merced",5,"Business, Management, Marketing, and Related Support Services",10
"University of Louisville",1,"Business, Management, Marketing, and Related Support Services",14
"University of Louisville",2,"Engineering",11
"University of Louisville",3,"Health Professions and Related Programs",10
"University of Louisville",4,"Parks, Recreation, Leisure, and Fitness Studies",10
"University of Louisville",5,"Education",8
"Mississippi State University",1,"Business, Management, Marketing, and Related Support Services",17
"Mississippi State University",2,"Engineering",15
"Mississippi State University",3,"Parks, Recreation, Leisure, and Fitness Studies",8
"Mississippi State University",4,"Education",8
"Mississippi State University",5,"Multi/Interdisciplinary Studies",6
"Rowan University",1,"Business, Management, Marketing, and Related Support Services",16
"Rowan University",2,"Biological and Biomedical Sciences",12
"Rowan University",3,"Education",12
"Rowan University",4,"Psychology",9
"Rowan University",5,"Communication, Journalism, and Related Programs",9
"University of Central Florida",1,"Business, Management, Marketing, and Related Support Services",21
"University of Central Florida",2,"Health Professions and Related Programs",16
"University of Central Florida",3,"Psychology",9
"University of Central Florida",4,"Education",8
"University of Central Florida",5,"Engineering",7
"University of Idaho",1,"Psychology, General",6
"University of Idaho",2,"Business Administration and Management, General",4
"University of Idaho",3,"General Studies",4
"University of Idaho",4,"Marketing/Marketing Management, General",4
"University of Idaho",5,"Mechanical Engineering",4
"Virginia Commonwealth University",1,"Business, Management, Marketing, and Related Support Services",13
"Virginia Commonwealth University",2,"Visual and Performing Arts",11
"Virginia Commonwealth University",3,"Psychology",9
"Virginia Commonwealth University",4,"Biological and Biomedical Sciences",8
"Virginia Commonwealth University",5,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",8
"Kent State University",1,"Business, Management, Marketing, and Related Support Services",21
"Kent State University",2,"Health Professions and Related Programs",18
"Kent State University",3,"Education",8
"Kent State University",4,"Communication, Journalism, and Related Programs",8
"Kent State University",5,"Psychology",7
"Robert Morris University",1,"Registered Nursing/Registered Nurse",23
"Robert Morris University",2,"Accounting",17
"Robert Morris University",3,"Engineering, Other",16
"Robert Morris University",4,"Business/Commerce, General",14
"Robert Morris University",5,"Medical Scientist",12
"Texas Tech University",1,"Business, Management, Marketing, and Related Support Services",21
"Texas Tech University",2,"Engineering",13
"Texas Tech University",3,"Multi/Interdisciplinary Studies",9
"Texas Tech University",4,"Family and Consumer Sciences/Human Sciences",8
"Texas Tech University",5,"Parks, Recreation, Leisure, and Fitness Studies",6
"Union University",1,"Health Professions and Related Programs",24
"Union University",2,"Business, Management, Marketing, and Related Support Services",21
"Union University",3,"Education",6
"Union University",4,"Public Administration and Social Service Professions",5
"Union University",5,"Philosophy and Religious Studies",5
"University of Hartford",1,"Visual and Performing Arts",23
"University of Hartford",2,"Health Professions and Related Programs",14
"University of Hartford",3,"Engineering",13
"University of Hartford",4,"Business, Management, Marketing, and Related Support Services",11
"University of Hartford",5,"Communication, Journalism, and Related Programs",7
"Edgewood College",1,"Registered Nursing/Registered Nurse",24
"Edgewood College",2,"Business/Commerce, General",10
"Edgewood College",3,"Psychology, General",10
"Edgewood College",4,"Biology/Biological Sciences, General",5
"Edgewood College",5,"Business Administration and Management, General",5
"Lesley University",1,"Psychology",21
"Lesley University",2,"Liberal Arts and Sciences, General Studies and Humanities",15
"Lesley University",3,"Visual and Performing Arts",15
"Lesley University",4,"Education",9
"Lesley University",5,"English Language and Literature/Letters",8
"Lipscomb University",1,"Business, Management, Marketing, and Related Support Services",23
"Lipscomb University",2,"Health Professions and Related Programs",10
"Lipscomb University",3,"Biological and Biomedical Sciences",9
"Lipscomb University",4,"Education",8
"Lipscomb University",5,"Psychology",7
"Suffolk University",1,"Business, Management, Marketing, and Related Support Services",47
"Suffolk University",2,"Communication, Journalism, and Related Programs",14
"Suffolk University",3,"Social Sciences",13
"Suffolk University",4,"Biological and Biomedical Sciences",6
"Suffolk University",5,"Psychology",5
"University of Maine",1,"Business, Management, Marketing, and Related Support Services",15
"University of Maine",2,"Engineering",15
"University of Maine",3,"Education",8
"University of Maine",4,"Health Professions and Related Programs",7
"University of Maine",5,"Social Sciences",7
"University of Wyoming",1,"Registered Nursing/Registered Nurse",9
"University of Wyoming",2,"Psychology, General",5
"University of Wyoming",3,"Elementary Education and Teaching",5
"University of Wyoming",4,"Criminal Justice/Safety Studies",5
"University of Wyoming",5,"Business Administration and Management, General",4
"Azusa Pacific University",1,"Health Professions and Related Programs",28
"Azusa Pacific University",2,"Business, Management, Marketing, and Related Support Services",15
"Azusa Pacific University",3,"Psychology",10
"Azusa Pacific University",4,"Liberal Arts and Sciences, General Studies and Humanities",8
"Azusa Pacific University",5,"Education",8
"Ball State University",1,"Business, Management, Marketing, and Related Support Services",17
"Ball State University",2,"Communication, Journalism, and Related Programs",14
"Ball State University",3,"Health Professions and Related Programs",10
"Ball State University",4,"Education",7
"Ball State University",5,"Liberal Arts and Sciences, General Studies and Humanities",6
"Montclair State University",1,"Business Administration and Management, General",15
"Montclair State University",2,"Psychology, General",11
"Montclair State University",3,"Family and Consumer Sciences/Human Sciences, General",7
"Montclair State University",4,"Biology/Biological Sciences, General",5
"Montclair State University",5,"Multi-/Interdisciplinary Studies, Other",5
"Pace University",1,"Business, Management, Marketing, and Related Support Services",33
"Pace University",2,"Communication, Journalism, and Related Programs",12
"Pace University",3,"Health Professions and Related Programs",10
"Pace University",4,"Visual and Performing Arts",10
"Pace University",5,"Psychology",9
"West Virginia University",1,"Engineering",14
"West Virginia University",2,"Business, Management, Marketing, and Related Support Services",13
"West Virginia University",3,"Multi/Interdisciplinary Studies",8
"West Virginia University",4,"Social Sciences",7
"West Virginia University",5,"Communication, Journalism, and Related Programs",7
"Andrews University",1,"Health Professions and Related Programs",18
"Andrews University",2,"Business, Management, Marketing, and Related Support Services",9
"Andrews University",3,"Biological and Biomedical Sciences",7
"Andrews University",4,"Visual and Performing Arts",6
"Andrews University",5,"Public Administration and Social Service Professions",5
"Indiana University-Purdue University--Indianapolis",1,"Health Professions and Related Programs",19
"Indiana University-Purdue University--Indianapolis",2,"Business, Management, Marketing, and Related Support Services",17
"Indiana University-Purdue University--Indianapolis",3,"Liberal Arts and Sciences, General Studies and Humanities",8
"Indiana University-Purdue University--Indianapolis",4,"Engineering",5
"Indiana University-Purdue University--Indianapolis",5,"Public Administration and Social Service Professions",5
"University of Houston",1,"Business, Management, Marketing, and Related Support Services",28
"University of Houston",2,"Engineering",7
"University of Houston",3,"Psychology",6
"University of Houston",4,"Communication, Journalism, and Related Programs",6
"University of Houston",5,"Biological and Biomedical Sciences",5
"University of New Mexico",1,"Business, Management, Marketing, and Related Support Services",14
"University of New Mexico",2,"Psychology",12
"University of New Mexico",3,"Health Professions and Related Programs",9
"University of New Mexico",4,"Education",8
"University of New Mexico",5,"Biological and Biomedical Sciences",8
"University of North Dakota",1,"Psychology, General",6
"University of North Dakota",2,"Registered Nursing/Registered Nurse",6
"University of North Dakota",3,"Airline/Commercial/Professional Pilot and Flight Crew",5
"University of North Dakota",4,"Accounting",4
"University of North Dakota",5,"Mechanical Engineering",4
"Widener University",1,"Health Professions and Related Programs",28
"Widener University",2,"Business, Management, Marketing, and Related Support Services",19
"Widener University",3,"Engineering",14
"Widener University",4,"Psychology",9
"Widener University",5,"Communications Technologies/Technicians and Support Services",5
"New Mexico State University",1,"Criminal Justice/Safety Studies",8
"New Mexico State University",2,"Liberal Arts and Sciences/Liberal Studies",6
"New Mexico State University",3,"Registered Nursing/Registered Nurse",5
"New Mexico State University",4,"Administrative Assistant and Secretarial Science, General",4
"New Mexico State University",5,"Psychology, General",4
"North Dakota State University",1,"Business, Management, Marketing, and Related Support Services",15
"North Dakota State University",2,"Engineering",13
"North Dakota State University",3,"Health Professions and Related Programs",11
"North Dakota State University",4,"Agriculture, Agriculture Operations, and Related Sciences",9
"North Dakota State University",5,"Family and Consumer Sciences/Human Sciences",8
"Nova Southeastern University",1,"Health Professions and Related Programs",44
"Nova Southeastern University",2,"Biological and Biomedical Sciences",19
"Nova Southeastern University",3,"Business, Management, Marketing, and Related Support Services",11
"Nova Southeastern University",4,"Psychology",8
"Nova Southeastern University",5,"Education",3
"University of North Carolina--Charlotte",1,"Business, Management, Marketing, and Related Support Services",20
"University of North Carolina--Charlotte",2,"Engineering",8
"University of North Carolina--Charlotte",3,"Health Professions and Related Programs",8
"University of North Carolina--Charlotte",4,"Psychology",8
"University of North Carolina--Charlotte",5,"Social Sciences",8
"Bowling Green State University",1,"Education, Other",4
"Bowling Green State University",2,"Biology/Biological Sciences, General",4
"Bowling Green State University",3,"Psychology, General",4
"Bowling Green State University",4,"Education/Teaching of Individuals in Early Childhood Special Education Programs",4
"Bowling Green State University",5,"Special Education and Teaching, General",3
"California State University--Fullerton",1,"Business, Management, Marketing, and Related Support Services",26
"California State University--Fullerton",2,"Communication, Journalism, and Related Programs",12
"California State University--Fullerton",3,"Health Professions and Related Programs",10
"California State University--Fullerton",4,"Psychology",7
"California State University--Fullerton",5,"Social Sciences",6
"Dallas Baptist University",1,"Business Administration and Management, General",NA
"Dallas Baptist University",2,"Multi-/Interdisciplinary Studies, Other",NA
"Dallas Baptist University",3,"Psychology, General",NA
"Dallas Baptist University",4,"Religious Education",NA
"Dallas Baptist University",5,"Speech Communication and Rhetoric",NA
"University of Massachusetts--Boston",1,"Business, Management, Marketing, and Related Support Services",19
"University of Massachusetts--Boston",2,"Health Professions and Related Programs",15
"University of Massachusetts--Boston",3,"Psychology",11
"University of Massachusetts--Boston",4,"Social Sciences",11
"University of Massachusetts--Boston",5,"Biological and Biomedical Sciences",7
"University of Nevada--Reno",1,"Business, Management, Marketing, and Related Support Services",17
"University of Nevada--Reno",2,"Health Professions and Related Programs",12
"University of Nevada--Reno",3,"Engineering",11
"University of Nevada--Reno",4,"Social Sciences",10
"University of Nevada--Reno",5,"Biological and Biomedical Sciences",9
"Central Michigan University",1,"Business, Management, Marketing, and Related Support Services",26
"Central Michigan University",2,"Education",9
"Central Michigan University",3,"Psychology",9
"Central Michigan University",4,"Communication, Journalism, and Related Programs",8
"Central Michigan University",5,"Parks, Recreation, Leisure, and Fitness Studies",8
"East Carolina University",1,"Health Professions and Related Programs",19
"East Carolina University",2,"Business, Management, Marketing, and Related Support Services",19
"East Carolina University",3,"Education",9
"East Carolina University",4,"Biological and Biomedical Sciences",6
"East Carolina University",5,"Communication, Journalism, and Related Programs",6
"Florida A&amp;M University",1,"Health Professions and Related Programs",24
"Florida A&amp;M University",2,"Multi/Interdisciplinary Studies",12
"Florida A&amp;M University",3,"Business, Management, Marketing, and Related Support Services",9
"Florida A&amp;M University",4,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",8
"Florida A&amp;M University",5,"Social Sciences",6
"Montana State University",1,"Engineering",16
"Montana State University",2,"Business, Management, Marketing, and Related Support Services",10
"Montana State University",3,"Health Professions and Related Programs",10
"Montana State University",4,"Family and Consumer Sciences/Human Sciences",9
"Montana State University",5,"Biological and Biomedical Sciences",8
"University of Alaska--Fairbanks",1,"Biology/Biological Sciences, General",10
"University of Alaska--Fairbanks",2,"Business Administration and Management, General",7
"University of Alaska--Fairbanks",3,"Accounting",6
"University of Alaska--Fairbanks",4,"Psychology, General",6
"University of Alaska--Fairbanks",5,"Mechanical Engineering",5
"University of Colorado--Denver",1,"Business, Management, Marketing, and Related Support Services",17
"University of Colorado--Denver",2,"Health Professions and Related Programs",17
"University of Colorado--Denver",3,"Social Sciences",13
"University of Colorado--Denver",4,"Biological and Biomedical Sciences",10
"University of Colorado--Denver",5,"Visual and Performing Arts",10
"University of Massachusetts--Dartmouth",1,"Business, Management, Marketing, and Related Support Services",30
"University of Massachusetts--Dartmouth",2,"Engineering",12
"University of Massachusetts--Dartmouth",3,"Health Professions and Related Programs",12
